,Store Number,City_x,2015 Sales,2015 Sales mean,County Number_x,Price per Liter mean_x,Zip Code_x,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 q1 Sales,2015 q1 Sales mean,2015 q1 Volume Sold (Liters),2015 q1 Volume Sold (Liters) mean,2015 q1 Margin mean,City,2016 q1 Sales,2016 q1 Sales mean,County Number,Price per Liter mean,Zip Code,2016 q1 Volume Sold (Liters),2016 q1 Volume Sold (Liters) mean,2016 q1 Margin mean,15-16 q1 Sales Growth,2016 Predicted Sales
229,3645,WINDSOR HEIGHTS,300427.8,150.817168675,77,14.5900592848,50311,22725.0,11.4081325301,50.3996686747,72096.6,151.782315789,5511.0,11.6021052632,50.7286736842,WINDSOR HEIGHTS,59505.06,138.383860465,77.0,13.4352602436,50311,4890.0,11.3720930233,46.1757209302,-12591.54,264258.938895
230,3647,CLINTON,402158.52,165.770206101,23,13.8834002669,52732,32412.0,13.3602638087,55.4205605936,81713.58,164.083493976,6849.0,13.7530120482,54.8674698795,CLINTON,82557.48,154.025149254,23.0,13.7485554371,52732,6729.0,12.5541044776,51.4179850746,843.9,361956.651047
231,3648,FAIRBANK,41547.36,55.1025994695,10,15.4780943572,50629,3649.88,4.84068965517,18.5737400531,7764.47,55.8594964029,702.13,5.05129496403,18.8869784173,FAIRBANK,8020.24,50.1265,10.0,16.8231428571,50629,691.5,4.321875,16.892625,255.77,46062.7961678
232,3650,HOLSTEIN,234923.2,94.803551251,47,17.8640880237,51025,15828.17,6.38747780468,31.6751008878,56029.06,91.550751634,3780.62,6.17748366013,30.6019771242,HOLSTEIN,57766.18,91.6923492063,47.0,16.8638468393,51025,3985.23,6.32576190476,30.6031904762,1737.12,256889.448069
233,3651,INDIANOLA,162819.08,148.017345455,91,13.724634632,50125,12863.25,11.6938636364,49.4264454545,38036.88,150.94,3153.0,12.5119047619,50.4014285714,INDIANOLA,37939.14,145.360689655,91.0,13.8264039409,50125,2907.0,11.1379310345,48.5225287356,-97.74,172861.114092
234,3652,IDA GROVE,31318.46,152.031359223,47,16.9881229773,51445,2013.5,9.77427184466,50.701407767,6782.98,193.799428571,458.75,13.1071428571,64.6245714286,IDA GROVE,8548.12,137.872903226,47.0,16.4728494624,51445,535.0,8.62903225806,45.9717741935,1765.14,48299.9872432
235,3654,BELMOND,101642.65,139.811072902,99,14.6463424379,50421,7965.0,10.9559834938,46.6585006878,28905.82,143.098118812,2142.0,10.603960396,47.7596534653,BELMOND,21862.64,122.823820225,99.0,15.6000695559,50421,1729.25,9.71488764045,40.9755617978,-7043.18,104727.821822
236,3655,SIOUX CITY,78896.0,95.6315151515,97,21.0896939394,51104,5010.46,6.07328484848,31.9846424242,16327.56,101.413416149,1119.79,6.9552173913,33.9808695652,SIOUX CITY,3079.69,85.5469444444,97.0,18.0858597884,51104,213.95,5.94305555556,28.5752777778,-13247.87,25124.4117479
237,3656,ANKENY,210999.92,173.662485597,77,18.3520062708,50021,12157.15,10.0058847737,58.066781893,51759.86,160.744906832,3143.4,9.76211180124,53.8036645963,ANKENY,48115.8,188.689411765,77.0,19.4893323996,50021,2603.7,10.2105882353,62.9188235294,-3644.06,215990.486165
238,3660,KNOXVILLE,124078.32,139.570663667,63,13.9608693556,50138,9457.5,10.6383577053,46.6486839145,23878.74,135.674659091,1876.5,10.6619318182,45.2996590909,KNOXVILLE,25522.98,130.887076923,63.0,13.1452063492,50138,2067.0,10.6,43.7052307692,1644.24,120240.589839
239,3663,WATERLOO,344617.89,175.021782631,7,13.7016931486,50702,28306.25,14.37595226,58.5484357542,82465.92,194.49509434,6759.0,15.9410377358,65.0773584906,WATERLOO,78194.46,156.076766467,7.0,13.7307024047,50702,6427.5,12.8293413174,52.1158083832,-4271.46,343465.877754
240,3664,NORTHWOOD,104244.83,65.2345619524,98,15.740703856,50459,8511.5,5.32634543179,21.7917459324,25681.32,69.408972973,2070.76,5.59664864865,23.1862972973,NORTHWOOD,28868.44,62.7574782609,98.0,15.1110558789,50459,2419.03,5.25876086957,20.9404347826,3187.12,134418.87516
241,3666,CEDAR RAPIDS,294907.84,172.966475073,57,17.7312172183,52404,18310.5,10.7392961877,57.8053958944,56137.44,168.580900901,3766.5,11.3108108108,56.427027027,CEDAR RAPIDS,60027.08,159.646489362,57.0,16.6653387791,52404,3873.6,10.3021276596,53.2438297872,3889.64,266471.294895
242,3670,CORALVILLE,548541.6,154.693062606,52,14.1716087879,52241,41162.5,11.6081500282,51.7334038353,112629.6,161.360458453,8553.0,12.2535816619,53.9611461318,CORALVILLE,117004.32,140.630192308,52.0,13.9949067079,52241,8909.4,10.7084134615,46.9379567308,4374.72,507944.684357
243,3676,GREENE,36180.35,40.6520786517,12,16.2678423648,50636,3156.06,3.54613483146,13.5909550562,8867.1,36.94625,755.2,3.14666666667,12.3689583333,GREENE,8311.56,37.2715695067,12.0,16.0031081909,50636,738.19,3.3102690583,12.4582959641,-555.54,47297.4299939
244,3677,EVERLY,8966.63,110.699135802,21,14.1771075838,51338,730.25,9.01543209877,37.0244444444,3154.66,98.583125,258.0,8.0625,32.88625,EVERLY,1827.31,107.488823529,21.0,14.5309243697,51338,152.0,8.94117647059,35.8441176471,-1327.35,19816.7407639
245,3678,DES MOINES,153563.96,109.453998574,77,22.4035984359,50320,9314.29,6.63883820385,36.5388168211,34458.63,105.701319018,2188.48,6.71312883436,35.2876687117,DES MOINES,31563.73,109.97815331,77.0,21.0813763066,50320,1983.52,6.9112195122,36.6822996516,-2894.9,145841.69613
246,3679,MONONA,124635.74,51.6946246371,22,15.6827253875,52159,8817.61,3.65724180838,17.2669348818,37635.19,57.1095447648,2652.71,4.02535660091,19.0772382398,MONONA,32802.9,48.2395588235,22.0,15.7747267157,52159,2277.22,3.34885294118,16.0995441176,-4832.29,151093.382242
247,3682,WESLEY,232513.3,178.718908532,55,17.0548269646,50483,16810.36,12.9211068409,59.8947578786,63228.48,171.816521739,4393.87,11.9398641304,57.5051902174,,52206.4341426,,,,,,,,-11022.0458574,233326.869806
248,3688,FREDERICKSBURG,36752.04,73.9477665996,19,12.05709016,50630,3779.25,7.60412474849,24.7886921529,9876.24,76.56,1002.0,7.76744186047,25.6279069767,FREDERICKSBURG,10165.35,63.9330188679,19.0,12.0076819407,50630,1014.0,6.37735849057,21.3564150943,289.11,55153.917157
249,3690,WATERLOO,145884.46,130.486994633,7,18.3615146094,50702,8394.8,7.50876565295,43.5957155635,32589.26,111.990584192,1975.0,6.78694158076,37.4294501718,WATERLOO,30692.2,161.537894737,7.0,19.8989035088,50702,1687.3,8.88052631579,53.8826842105,-1897.06,142148.093156
250,3691,URBANDALE,305758.57,228.86120509,77,18.2896717227,50322,17665.2,13.2224550898,76.4344610778,53473.18,170.296751592,3400.2,10.8286624204,56.9502547771,URBANDALE,29640.14,178.555060241,77.0,18.9209258462,50322,1669.5,10.0572289157,59.5374698795,-23833.04,137689.391855
251,3695,REMSEN,103290.95,96.7143726592,75,15.8883269855,51050,7911.02,7.40732209738,32.3468258427,24629.37,94.7283461538,1908.07,7.33873076923,31.6726923077,REMSEN,26342.77,99.783219697,75.0,15.6869814214,51050,1948.64,7.38121212121,33.3101893939,1713.4,123714.9152
252,3696,DES MOINES,152180.28,146.327192308,77,14.9915929487,50315,10618.5,10.2100961538,48.9246346154,33989.7,139.875308642,2401.5,9.88271604938,46.7609876543,DES MOINES,35953.38,145.560242915,77.0,15.5274763833,50315,2419.5,9.7955465587,48.5939271255,1963.68,164445.32916
253,3698,WEST DES MOINES,146842.04,102.61498253,77,29.5690036339,50266,6270.54,4.38192872117,34.246512928,25108.96,83.4184717608,1105.27,3.67199335548,27.835448505,WEST DES MOINES,25488.04,86.6940136054,77.0,26.3083984916,50266,1149.48,3.90979591837,28.9138095238,379.08,120092.51176
254,3700,AVOCA,328916.37,92.1592518913,78,16.6051921517,51521,22865.42,6.40667413841,30.7564051555,79255.66,94.8034210526,5498.63,6.57730861244,31.6339114833,AVOCA,72521.4,89.643263288,78.0,16.3244902274,51521,5039.83,6.22970333745,29.9042027194,-6734.26,319423.066505
255,3704,EMMETSBURG,256431.64,49.7056871487,74,16.725961861,50536,18820.86,3.64816049622,16.6174452413,63780.88,53.0181878637,4639.84,3.85689110557,17.7112718204,EMMETSBURG,66773.76,52.7855810277,74.0,16.6407252321,50536,4891.13,3.86650592885,17.6238656126,2992.88,295064.180181
256,3705,ROCK RAPIDS,290054.32,90.1349658173,60,17.1405131218,51246,21165.77,6.57730577999,30.1104443754,67433.19,93.1397651934,4917.0,6.79143646409,31.1128867403,ROCK RAPIDS,68723.85,92.2467785235,60.0,17.2194944549,51246,5005.4,6.71865771812,30.7769530201,1290.66,303328.793245
257,3707,CEDAR RAPIDS,282145.15,141.355285571,57,19.2931002282,52402,16046.85,8.03950400802,47.2165380762,51959.08,122.545,3374.7,7.95919811321,40.9928301887,CEDAR RAPIDS,47334.58,127.243494624,57.0,17.4859543011,52402,2959.95,7.95685483871,42.4375268817,-4624.5,212679.623067
